Year,Month,DAY,TEM,DPT,WIS,HUM,SLP,TRAN,ARAN,RAN
1979,8,31,27.3,24.3,11.5,85.68,1001.9,920,29.68,MHR
1979,9,30,27.5,23.7,7.2,85.2,1006.9,425,14.17,MHR
1979,10,31,27.5,23.1,6.4,79.26,1011.9,59,1.9,LTR
1979,11,30,26.1,20.3,5.7,76.4,1012.6,52,1.73,LTR
1979,12,31,21.4,15.9,6.1,75.1,1015.7,36,1.16,LTR
1980,1,31,19.8,13.1,7.3,68.77,1014.5,0,0,NRT
1980,2,29,21.6,13.8,7.9,68.55,1013.6,28,0.97,NRT
1980,3,31,25.6,19.6,7.9,72.52,1011.4,52,1.68,LTR
1980,4,30,28.9,22.6,13.7,74,1008.1,46,1.53,LTR
1980,5,31,27.7,23.7,10.7,80.13,1006.2,456,14.71,MHR
1980,6,30,27.9,23.6,11.5,82.1,1002.8,517,17.23,MHR
1980,7,31,27.7,24.9,11.9,85.23,1002.3,627,20.23,MHR
1980,8,31,27.7,24.8,10.9,85.42,1003.4,702,22.65,MHR
1980,9,30,28.3,24.4,8,83.97,1006.6,229,7.63,LTR
1980,10,31,26.7,23.3,6.3,82.55,1010,275,8.87,LTR
1980,11,30,24.5,18.1,4.8,72.23,1013,0,0,NRT
1980,12,31,20.9,14.9,4.5,70.52,1013.7,0,0,NRT
1981,1,31,19.8,14,5.8,72.65,1015.6,15,0.48,NRT
1981,2,28,21.9,13,7,66.46,1013.5,2,0.07,NRT
1981,3,31,24.5,17.5,8.8,69.48,1012.5,129,4.16,LTR
1981,4,30,25.7,20.9,9.5,80.1,1009.3,279,9.3,LTR
1981,5,31,27.9,23.4,8.9,78.8,1006.2,341,11,MHR
1981,6,30,27.9,23.8,10.8,84.4,1001,364,12.13,MHR
1981,7,31,27.2,24.7,11.9,87.84,1002.5,825,26.61,MHR
1981,8,31,27.9,24.5,10.4,83.16,1001.7,343,11.06,MHR
1981,9,30,27.9,23.6,7.3,83.47,1007.3,150,5,LTR
1981,10,31,27.9,22.8,5.9,76.55,1009.2,20,0.65,NRT
1981,11,30,25.2,18.5,5.9,72.17,1011.1,1,0.03,NRT
1981,12,31,21.1,13.2,4.5,72.38,1015.8,0,0,NRT
1982,1,31,19.8,13.1,5.9,69.35,1015.5,0,0,NRT
1982,2,28,22.2,13.5,6.8,68.5,1013.2,7,0.25,NRT
1982,3,31,24.9,17.3,8.8,67.61,1011.3,53,1.71,LTR
1982,4,30,27.2,21.8,11.9,77.3,1009.1,143,4.77,LTR
1982,5,31,29.5,24,7.5,75.29,1006.9,44,1.42,LTR
1982,6,30,27.3,23.6,10.5,85.63,1001.8,746,24.87,MHR
1982,7,31,27.9,24.8,9.8,85.16,1002.1,475,15.32,MHR
1982,8,31,27.2,24.7,9.7,87.74,1001.8,797,25.71,MHR
1982,9,30,28,23.7,6.6,82.13,1006.3,401,13.37,MHR
1982,10,31,27.8,23.1,4.7,78.1,1011.2,5,0.16,NRT
1982,11,30,23.7,17.4,3.9,74.03,1013,43,1.43,LTR
1982,12,31,20.1,14.3,5.4,73.48,1015.3,1,0.03,NRT
1983,1,31,19.5,13.7,4.9,72.68,1016.4,5,0.16,NRT
1983,2,28,21.2,12.5,6,67.36,1014.2,44,1.57,LTR
1983,3,31,25.2,20.4,8.7,76.94,1011.5,79,2.55,LTR
1983,4,30,27.1,21.4,11.9,76.77,1008.9,219,7.3,LTR
1983,5,31,28,23.5,8.3,78.48,1007.2,222,7.16,LTR
1983,6,30,28.4,23.6,10.4,80.9,1003.7,609,20.3,MHR
1983,7,31,28.2,24.6,8.2,82.58,1003.7,812,26.19,MHR
1983,8,31,27.9,24.7,8.9,84.39,1003.8,1457,47,MHR
1983,9,30,28.3,23.9,7.4,82.67,1006.4,162,5.4,LTR
1983,10,31,27.1,23.5,6,82.55,1008.1,390,12.58,MHR
1983,11,30,25,20.3,4.3,80.97,1013.3,57,1.9,LTR
1983,12,31,20.2,14.5,3.9,73.45,1015.2,52,1.68,LTR
1984,1,31,19.3,13,4.7,71.55,1013.9,1,0.03,NRT
1984,2,29,21.3,12.7,6.7,66.24,1012.4,0,0,NRT
1984,3,31,24.9,19.4,7.4,74.52,1010.6,0,0,NRT
1984,4,30,27.5,21.9,10.3,77.57,1007.4,125,4.17,LTR
1984,5,31,27.8,24.1,13.3,82.23,1004.7,428,13.81,MHR
1984,6,30,27.7,23.8,13.1,85.37,999.3,595,19.83,MHR
1984,7,31,27.7,24.6,13.1,84.55,1003.1,802,25.87,MHR
1984,8,31,27.4,24.7,11.3,86.19,1001.9,326,10.52,MHR
1984,9,30,28,23.4,7.2,81.67,1007.3,175,5.83,LTR
1984,10,31,27.7,24,5.8,82.39,1009.5,122,3.94,LTR
1984,11,30,24.1,17.9,4.3,74.63,1013.6,0,0,NRT
1984,12,31,20.6,14.9,6.8,73.58,1013,2,0.06,NRT
1985,1,31,20.1,14,6.2,72.1,1015.1,17,0.55,NRT
1985,2,28,21.7,13.3,7.9,70.04,1009.6,6,0.21,NRT
1985,3,31,26,22,11.7,80.58,1010.2,88,2.84,LTR
1985,4,30,27.9,23.2,13.8,81,1006.5,143,4.77,LTR
1985,5,31,27.9,23.5,11.9,79.48,1004.6,511,16.48,MHR
1985,6,30,27.9,23.8,12.9,84.67,1000,517,17.23,MHR
1985,7,31,27,24.2,13.7,85.77,1004.1,1031,33.26,MHR
1985,8,31,27.9,24.7,12.6,84.94,1002.3,469,15.13,MHR
1985,9,30,28,23.6,7.6,82.73,1006.3,143,4.77,LTR
1985,10,31,27.7,22.9,6.1,77.61,1009.7,47,1.52,LTR
1985,11,30,23.6,17.7,4.6,75.33,1012.5,198,6.6,LTR
1985,12,31,21.5,16.1,5.4,74.9,1014.6,2,0.06,NRT
1986,1,31,19.9,14.3,4.8,73.61,1014.9,2,0.06,NRT
1986,2,28,22.7,13.1,6.2,65.75,1013.7,0,0,NRT
1986,3,31,26,19.1,7.6,70.03,1010.3,0,0,NRT
